platform_id,match_key,resolved_province,resolved_city,resolved_county,county_applicable,evidence_rows,first_month_id,last_month_id,matched_alias_count
1,ADDR|上海市奉贤区茂园路611号246室,上海市,上海市,奉贤区,1,30,202601,202606,3
1,ADDR|上海市金山工业区亭卫公路6558号9幢2168室,上海市,上海市,,1,6,202601,202606,2
1,ADDR|天津市和平区新华路166号海珠大厦十四层07号,天津市,天津市,和平区,1,6,202601,202606,3
1,ADDR|上海市闵行区江川路1777弄22号356室,上海市,上海市,闵行区,1,6,202601,202606,3
1,ADDR|上海市崇明县长兴镇潘园公路1800号3号楼4330室上海泰和经济发展区,上海市,上海市,崇明区,1,30,202601,202606,3
1,ADDR|上海市奉贤区大叶公路5995号5幢1239室,上海市,上海市,奉贤区,1,12,202601,202606,3
1,ADDR|北京市密云区太师屯镇永安街143号镇政府办公楼415室2401太师屯镇集中办公区,北京市,北京市,密云区,1,12,202601,202606,3
1,ADDR|北京市通州区翠景北里1号楼11层12052,北京市,北京市,通州区,1,24,202601,202606,4
1,ADDR|北京市朝阳区立清路7号院7号楼2层187f2a02,北京市,北京市,朝阳区,1,6,202601,202606,3
1,ADDR|上海市金山区枫泾镇环东一路65弄2号2121室,上海市,上海市,金山区,1,12,202601,202606,3
1,ADDR|重庆市永川区内环南路611号3幢,重庆市,重庆市,永川区,1,6,202601,202606,4
1,ADDR|上海市金山区亭林镇松隐南星村3106号2楼990室,上海市,上海市,金山区,1,6,202601,202606,3
1,ADDR|天津市武清开发区福源道18号544室68集中办公区,天津市,天津市,,1,30,202601,202606,2
1,ADDR|广东省中山市横栏镇三沙村祥贤八街27号首层南起第3卡,广东省,中山市,,0,12,202601,202606,4
1,ADDR|上海市杨浦区恒仁路350号1幢10215室,上海市,上海市,杨浦区,1,6,202601,202606,3
1,ADDR|北京市平谷区夏各庄镇夏各庄北街68号,北京市,北京市,平谷区,1,6,202601,202606,3
1,ADDR|北京市通州区经济开发区聚富苑产业园区聚和六街1号1132,北京市,北京市,通州区,1,24,202601,202606,4
1,ADDR|北京市北京经济技术开发区万源街15号2号楼313室,北京市,北京市,,1,12,202601,202606,2
1,ADDR|上海市浦东新区宣桥镇宣秋路139号1幢5092室,上海市,上海市,浦东新区,1,6,202601,202606,3
1,ADDR|北京市海淀区苏州街49号院7幢415室,北京市,北京市,海淀区,1,6,202601,202606,3
1,ADDR|上海市金山区枫泾镇环东一路65弄4号3919室,上海市,上海市,金山区,1,6,202601,202606,3
1,ADDR|广东省东莞市大岭山镇金桔村瑞红工业区三栋三楼,广东省,东莞市,,0,12,202601,202606,4
1,ADDR|上海市闵行区光华路598号1幢a4101室,上海市,上海市,闵行区,1,6,202601,202606,3
1,ADDR|上海市崇明县长兴镇潘园公路1800号2号楼6165室上海泰和经济发展区,上海市,上海市,崇明区,1,36,202601,202606,3
1,ADDR|上海市松江区永丰街道玉树路269号5号楼32911室,上海市,上海市,松江区,1,6,202601,202606,3
1,ADDR|北京市朝阳区西大望路甲12号2号楼国家广告产业园区孵化器25815号,北京市,北京市,朝阳区,1,12,202601,202606,3
1,ADDR|天津市红桥区纪念馆路金潞园34202,天津市,天津市,红桥区,1,6,202601,202606,3
